ExperimentName,Subject,Session,DataFile.Basename,DebugSession,Display.RefreshRate,ExternalStimulus,Group,RandomSeed,SessionDate,SessionStartDateTimeUtc,SessionTime,TrainingSession,UsingfMRI,Run,AvgRunACC,AvgRunReturnACC,AvgRunRT,AvgTotalACC,AvgTotalRT,Intensity,Painful,PainfulRating.DEVICE,Procedure[Run],Rest.DEVICE,RunBonus,RunList,RunList.Cycle,RunList.Sample,Running[Run],Salience,TotalBonus,Unpleasantness,Block,AvgBlockACC,AvgBlockRT,BlockACC,BlockBonus,BlockList,BlockList.Cycle,BlockList.Sample,BlockTrials,NumCorrect,NumTrials,Procedure[Block],Running[Block],Task,Trials1,Trials2,Trials3,Trial,CorrectResponse,DisplayStim.ACC,DisplayStim.CRESP,DisplayStim.DEVICE,DisplayStim.DurationError,DisplayStim.OnsetDelay,DisplayStim.OnsetTime,DisplayStim.OnsetToOnsetTime,DisplayStim.RESP,DisplayStim.RT,DisplayStim.RTTime,ITIDur,Match,Phase,PhaseSwitch,Procedure[Trial],Running[Trial],StimPath,Stimulus,TrialList1,TrialList1.Cycle,TrialList1.Sample,TrialList2,TrialList2.Cycle,TrialList2.Sample,TrialList3,TrialList3.Cycle,TrialList3.Sample
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,1,90.9091,601.545,10,$6.15 ,52,2,1,11,,,BlockProc,BlockList,branch,3,5,3,1,f,1,f,Keyboard,0,34,100802,516,f,478,101280,3000,match,1,1,TrialProc,TrialList1,Stimulus\SQUARET.png,0,1,1,1,,,,,,
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,1,90.9091,601.545,10,$6.15 ,52,2,1,11,,,BlockProc,BlockList,branch,3,5,3,2,j,1,j,Keyboard,0,34,104336,516,j,544,104880,3000,random,1,,TrialProc,TrialList1,Stimulus\SQUAREE.png,4,2,1,2,,,,,,
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,1,90.9091,601.545,10,$6.15 ,52,2,1,11,,,BlockProc,BlockList,branch,3,5,3,3,j,1,j,Keyboard,0,33,107869,517,j,531,108400,3200,random,1,,TrialProc,TrialList1,Stimulus\SQUAREL.png,3,2,1,3,,,,,,
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,1,90.9091,601.545,10,$6.15 ,52,2,1,11,,,BlockProc,BlockList,branch,3,5,3,4,f,1,f,Keyboard,0,34,111603,517,f,909,112512,2800,match,2,2,TrialProc,TrialList2,Stimulus\CIRCLET.png,0,,,,1,1,1,,,
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,1,90.9091,601.545,10,$6.15 ,52,2,1,11,,,BlockProc,BlockList,branch,3,5,3,5,j,1,j,Keyboard,0,34,114937,517,j,591,115528,3400,random,2,,TrialProc,TrialList2,Stimulus\CIRCLEB.png,2,,,,2,1,2,,,
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,1,90.9091,601.545,10,$6.15 ,52,2,1,11,,,BlockProc,BlockList,branch,3,5,3,6,j,1,j,Keyboard,0,34,118871,517,j,769,119640,3000,random,2,,TrialProc,TrialList2,Stimulus\CIRCLET.png,0,,,,2,1,3,,,
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,1,90.9091,601.545,10,$6.15 ,52,2,1,11,,,BlockProc,BlockList,branch,3,5,3,7,j,0,j,Keyboard,0,34,122405,517,f,795,123200,2800,random,2,,TrialProc,TrialList2,Stimulus\CIRCLEE.png,4,,,,2,1,4,,,
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,1,90.9091,601.545,10,$6.15 ,52,2,1,11,,,BlockProc,BlockList,branch,3,5,3,8,f,1,f,Keyboard,0,34,125739,517,f,573,126312,3400,match,2,,TrialProc,TrialList2,Stimulus\CIRCLET.png,0,,,,1,1,5,,,
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,1,90.9091,601.545,10,$6.15 ,52,2,1,11,,,BlockProc,BlockList,branch,3,5,3,9,f,1,f,Keyboard,0,34,129673,517,f,511,130184,3000,match,3,3,TrialProc,TrialList3,Stimulus\SQUAREE.png,4,,,,,,,1,1,1
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,1,90.9091,601.545,10,$6.15 ,52,2,1,11,,,BlockProc,BlockList,branch,3,5,3,10,f,1,f,Keyboard,0,34,133207,517,f,473,133680,2800,match,3,,TrialProc,TrialList3,Stimulus\SQUARET.png,0,,,,,,,1,1,2
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,1,90.9091,601.545,10,$6.15 ,52,2,1,11,,,BlockProc,BlockList,branch,3,5,3,11,f,1,f,Keyboard,0,34,136541,516,f,443,136984,3000,match,3,,TrialProc,TrialList3,Stimulus\SQUAREA.png,1,,,,,,,1,1,3
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,2,100,594.3,10,$6.20 ,11,2,2,10,,,BlockProc,BlockList,branch,4,4,2,1,f,1,f,Keyboard,0,34,143075,517,f,605,143680,3400,match,1,1,TrialProc,TrialList1,Stimulus\SQUARET.png,0,1,1,4,,,,,,
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,2,100,594.3,10,$6.20 ,11,2,2,10,,,BlockProc,BlockList,branch,4,4,2,2,f,1,f,Keyboard,0,34,147009,517,f,479,147488,2600,match,1,,TrialProc,TrialList1,Stimulus\SQUAREA.png,1,1,1,5,,,,,,
